[2026-06-13 23:43:53.470] Client: 发送 SYN | StudentID=20788 | MsgType=1 | SeqNum=0 | AckNum=0 | DataLen=0 | Flags=SYN
[2026-06-13 23:43:53.477] Client: 收到 SYN-ACK | StudentID=20788 | MsgType=1 | SeqNum=0 | AckNum=1 | DataLen=0 | Flags=SYN+ACK
[2026-06-13 23:43:53.477] Client: 发送 ACK | StudentID=20788 | MsgType=1 | SeqNum=1 | AckNum=1 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:53.478] Client: 三次握手完成，连接已建立
[2026-06-13 23:43:53.479] Client: 客户端启动，开始连接服务端
[2026-06-13 23:43:53.479] Client: 发送数据包 | Seq=1 | StudentID=20788 | MsgType=2 | SeqNum=1 | AckNum=0 | DataLen=56 | Flags=0 | D*56
[2026-06-13 23:43:53.480] Client: 发送数据包 | Seq=2 | StudentID=20788 | MsgType=2 | SeqNum=2 | AckNum=0 | DataLen=50 | Flags=0 | D*50
[2026-06-13 23:43:53.480] Client: 发送数据包 | Seq=3 | StudentID=20788 | MsgType=2 | SeqNum=3 | AckNum=0 | DataLen=79 | Flags=0 | D*79
[2026-06-13 23:43:53.481] Client: 发送数据包 | Seq=4 | StudentID=20788 | MsgType=2 | SeqNum=4 | AckNum=0 | DataLen=47 | Flags=0 | D*47
[2026-06-13 23:43:53.482] Client: 发送数据包 | Seq=5 | StudentID=20788 | MsgType=2 | SeqNum=5 | AckNum=0 | DataLen=65 | Flags=0 | D*65
[2026-06-13 23:43:53.504] Client: 收到 ACK | Seq=1 | RTT=23.93ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=1 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:53.505] Client: 发送数据包 | Seq=6 | StudentID=20788 | MsgType=2 | SeqNum=6 | AckNum=0 | DataLen=76 | Flags=0 | D*76
[2026-06-13 23:43:53.527] Client: 收到 ACK | Seq=2 | RTT=44.79ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=2 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:53.531] Client: 发送数据包 | Seq=7 | StudentID=20788 | MsgType=2 | SeqNum=7 | AckNum=0 | DataLen=63 | Flags=0 | D*63
[2026-06-13 23:43:53.556] Client: 收到 ACK | Seq=3 | RTT=74.78ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=3 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:53.558] Client: 发送数据包 | Seq=8 | StudentID=20788 | MsgType=2 | SeqNum=8 | AckNum=0 | DataLen=58 | Flags=0 | D*58
[2026-06-13 23:43:53.594] Client: 收到 ACK | Seq=4 | RTT=112.25ms | 确认报文: StudentID=20788 | MsgType=3 | SeqNum=0 | AckNum=4 | DataLen=0 | Flags=ACK
[2026-06-13 23:43:53.595] Client: 发送数据包 | Seq=9 | StudentID=20788 | MsgType=2 | SeqNum=9 | AckNum=0 | DataLen=79 | Flags=0 | D*79
[2026-06-13 23:43:53.899] Client: 超时重传 | base=5 | next_seq=10
[2026-06-13 23:43:53.899] Client: 重传 | Seq=5 | StudentID=20788 | MsgType=2 | SeqNum=5 | AckNum=0 | DataLen=65 | Flags=0 | D*65
[2026-06-13 23:43:53.900] Client: 重传 | Seq=6 | StudentID=20788 | MsgType=2 | SeqNum=6 | AckNum=0 | DataLen=76 | Flags=0 | D*76
[2026-06-13 23:43:53.900] Client: 重传 | Seq=7 | StudentID=20788 | MsgType=2 | SeqNum=7 | AckNum=0 | DataLen=63 | Flags=0 | D*63
[2026-06-13 23:43:53.902] Client: 重传 | Seq=8 | StudentID=20788 | MsgType=2 | SeqNum=8 | AckNum=0 | DataLen=58 | Flags=0 | D*58
[2026-06-13 23:43:53.903] Client: 重传 | Seq=9 | StudentID=20788 | MsgType=2 | SeqNum=9 | AckNum=0 | DataLen=79 | Flags=0 | D*79
[2026-06-13 23:43:54.212] Client: 超时重传 | base=5 | next_seq=10
[2026-06-13 23:43:54.214] Client: 重传 | Seq=5 | StudentID=20788 | MsgType=2 | SeqNum=5 | AckNum=0 | DataLen=65 | Flags=0 | D*65
[2026-06-13 23:43:54.216] Client: 重传 | Seq=6 | StudentID=20788 | MsgType=2 | SeqNum=6 | AckNum=0 | DataLen=76 | Flags=0 | D*76
[2026-06-13 23:43:54.218] Client: 重传 | Seq=7 | StudentID=20788 | MsgType=2 | SeqNum=7 | AckNum=0 | DataLen=63 | Flags=0 | D*63
[2026-06-13 23:43:54.219] Client: 重传 | Seq=8 | StudentID=20788 | MsgType=2 | SeqNum=8 | AckNum=0 | DataLen=58 | Flags=0 | D*58
